Abbreviation	ACALD_ko	ACKr_ko	AKGDH_ko	ALCD2x_ko	ATPS4r_ko	FBA_ko	FBP_ko	FRD7_ko	FUM_ko	G6PDH2r_ko	GLUDy_ko	GLUN_ko	GLUSy_ko	GND_ko	ICL_ko	LDH_D_ko	MALS_ko	MDH_ko	ME1_ko	ME2_ko	NADTRHD_ko	PDH_ko	PFK_ko	PFL_ko	PGI_ko	PGL_ko	PPC_ko	PPCK_ko	PPS_ko	PTAr_ko	PYK_ko	RPE_ko	SUCDi_ko	SUCOAS_ko	TALA_ko	THD2_ko	TPI_ko
EX_o2_e	-21.79949265599863	-21.79949265599871	-22.482009903475625	-21.79949265599882	-6.9579976156312044	-27.526330981849913	-21.79949265599887	-21.79949265599887	-24.40575306974116	-22.24133814028473	-22.7844454228999	-21.799492655998833	-21.79949265599887	-22.24133814028473	-21.79949265599887	-21.799492655998854	-21.79949265599887	-23.902117497140726	-21.79949265599887	-21.799492655998748	-21.79949265599863	-21.303586494713038	-27.526330981849913	-21.799492655998833	-22.269914917686506	-22.24133814028473	-21.938351328607602	-21.799492655998833	-21.79949265599887	-21.79949265599875	-22.192699873782423	-22.158187688368866	-24.405753069741	-22.482009903475625	-22.199993727668385	-21.79949265599887	-27.526330981849913
EX_pi_e	-3.214895047684785	-3.214895047684733	-3.1574554618930826	-3.2148950476847644	-1.3766794409164134	-2.5899407200889666	-3.2148950476848044	-3.2148950476848044	-2.995556240959902	-3.1777100216723504	-3.1320029608337054	-3.214895047684801	-3.2148950476848044	-3.1777100216723504	-3.2148950476848044	-3.214895047684749	-3.2148950476848044	-3.0379414243190475	-3.2148950476848044	-3.214895047684794	-3.214895047684785	-2.930805300882844	-2.5899407200889666	-3.214895047684801	-3.1753050447091224	-3.1777100216723504	-3.2032089186269346	-3.214895047684801	-3.2148950476848044	-3.214895047684751	-3.1818033422321794	-3.1847078338655623	-2.995556240959933	-3.1574554618930826	-3.1811895028785586	-3.2148950476848044	-2.5899407200889857
EX_pyr_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EX_succ_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBA	7.4773819621602815	7.477381962160267	7.102006521645541	7.4773819621602815	9.627753543404037	0.0	7.477381962160286	7.477381962160286	1.5661189374904905	9.140764901036277	7.645559589382772	7.477381962160286	7.477381962160286	9.140764901036277	7.477381962160286	7.477381962160283	7.477381962160286	9.178557551642086	7.477381962160286	7.477381962160285	7.4773819621602815	5.213817144796834	0.0	7.477381962160286	5.867064429485862	9.140764901036277	7.002050386091425	7.477381962160286	7.477381962160286	7.477381962160281	8.015567257570654	8.827734558991665	1.5661189374905857	7.102006521645541	8.98511865588975	7.477381962160286	0.0
FBP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FORt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FORt	0.0	0.0	0.0	0.0	-16.118562583168774	-3.3981751362311567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.743119782438196	-3.3981751362311567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.398175136231148
FRD7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FRUpts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
